INPUT_TABLE,,,,,,,,,,
Variable ID,,,,,,,,,,
GLIMPSEInputEmissCoef,,,,,,,,,,
,,,,,,,,,,
region,supplysector,tranSubsector,stub-technology,year,pollutant,value,type,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2015,PM10, 0.0126139 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2020,PM10, 0.0097041 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2025,PM10, 0.0059534 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2030,PM10, 0.0049598 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2035,PM10, 0.0037390 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2040,PM10, 0.0037390 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2045,PM10, 0.0037390 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2050,PM10, 0.0037390 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2015,PM2.5, 0.0122253 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2020,PM2.5, 0.0094052 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2025,PM2.5, 0.0057700 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2030,PM2.5, 0.0048070 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2035,PM2.5, 0.0036238 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2040,PM2.5, 0.0036238 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2045,PM2.5, 0.0036238 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2050,PM2.5, 0.0036238 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2015,NMVOC, 0.0181963 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2020,NMVOC, 0.0138277 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2025,NMVOC, 0.0082240 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2030,NMVOC, 0.0069647 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2035,NMVOC, 0.0053388 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2040,NMVOC, 0.0053388 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2045,NMVOC, 0.0053388 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2050,NMVOC, 0.0053388 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2015,CO, 0.0643530 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2020,CO, 0.0607409 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2025,CO, 0.0542855 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2030,CO, 0.0481002 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2035,CO, 0.0432304 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2040,CO, 0.0432304 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2045,CO, 0.0432304 ,input-driver,,,
all states,trn_freight,Domestic Ship,Hybrid Liquids,2050,CO, 0.0432304 ,input-driver,,,
all states,trn_shipping_intl,International Ship,Liquids,2015,NOx, 0.0757179 ,input-driver,,,
all states,trn_shipping_intl,International Ship,Liquids,2020,NOx, 0.0727635 ,input-driver,,,
all states,trn_shipping_intl,International Ship,Liquids,2025,NOx, 0.0674324 ,input-driver,,,
all states,trn_shipping_intl,International Ship,Liquids,2030,NOx, 0.0634530 ,input-driver,,,
all states,trn_shipping_intl,International Ship,Liquids,2035,NOx, 0.0590042 ,input-driver,,,
all states,trn_shipping_intl,International Ship,Liquids,2040,NOx, 0.0590042 ,input-driver,,,
all states,trn_shipping_intl,International Ship,Liquids,2045,NOx, 0.0590042 ,input-driver,,,
all states,trn_shipping_intl,International Ship,Liquids,2050,NOx, 0.0590042 ,input-driver,,,
all states,trn_shipping_intl,International Ship,Liquids,2015,SO2_1, 0.0032094 ,input-driver,,,
